Councils,Type,Months,Years,ESB_Connections
Kilkenny,County,Dec,2010,18
Laois,County,Dec,2010,23
Leitrim,County,Dec,2010,3
Limerick,County,Dec,2010,29
Longford,County,Dec,2010,15
Louth,County,Dec,2010,26
Mayo,County,Dec,2010,42
Meath,County,Dec,2010,59
Monaghan,County,Dec,2010,19
North Tipperary,County,Dec,2010,23
Offaly,County,Dec,2010,23
Roscommon,County,Dec,2010,18
Sligo,County,Dec,2010,11
South Dublin,County,Dec,2010,40
South Tipperary,County,Dec,2010,30
Waterford,County,Dec,2010,20
Westmeath,County,Dec,2010,26
Wexford,County,Dec,2010,33
Wicklow,County,Dec,2010,15
Carlow,County,Jan,2011,10
Cavan,County,Jan,2011,32
Clare,County,Jan,2011,19
Cork,County,Jan,2011,129
Donegal,County,Jan,2011,41
Dun Laoghaire,County,Jan,2011,16
Fingal,County,Jan,2011,21
Galway,County,Jan,2011,42
Kerry,County,Jan,2011,16
Kildare,County,Jan,2011,25
Kilkenny,County,Jan,2011,10
Laois,County,Jan,2011,9
Leitrim,County,Jan,2011,30
Limerick,County,Jan,2011,13
Longford,County,Jan,2011,8
Louth,County,Jan,2011,30
Mayo,County,Jan,2011,36
Meath,County,Jan,2011,26
Monaghan,County,Jan,2011,12
North Tipperary,County,Jan,2011,8
Offaly,County,Jan,2011,12
Roscommon,County,Jan,2011,13
Sligo,County,Jan,2011,23
South Dublin,County,Jan,2011,30
South Tipperary,County,Jan,2011,4
Waterford,County,Jan,2011,28
Westmeath,County,Jan,2011,7
Wexford,County,Jan,2011,22
Wicklow,County,Jan,2011,26
Carlow,County,Feb,2011,10
Cavan,County,Feb,2011,17
Clare,County,Feb,2011,28
Cork,County,Feb,2011,85
Donegal,County,Feb,2011,56
Dun Laoghaire,County,Feb,2011,15
Fingal,County,Feb,2011,93
Galway,County,Feb,2011,50
Kerry,County,Feb,2011,30
Kildare,County,Feb,2011,32
Kilkenny,County,Feb,2011,21
Laois,County,Feb,2011,17
Leitrim,County,Feb,2011,23
Limerick,County,Feb,2011,21
Longford,County,Feb,2011,8
Louth,County,Feb,2011,19
Mayo,County,Feb,2011,32
Meath,County,Feb,2011,32
Monaghan,County,Feb,2011,11
North Tipperary,County,Feb,2011,19
Offaly,County,Feb,2011,12
Roscommon,County,Feb,2011,16
Sligo,County,Feb,2011,34
South Dublin,County,Feb,2011,16
South Tipperary,County,Feb,2011,13
Waterford,County,Feb,2011,11
Westmeath,County,Feb,2011,21
Wexford,County,Feb,2011,38
Wicklow,County,Feb,2011,34
Carlow,County,Mar,2011,6
Cavan,County,Mar,2011,40
Clare,County,Mar,2011,27
Cork,County,Mar,2011,149
Donegal,County,Mar,2011,62
Dun Laoghaire,County,Mar,2011,36
Fingal,County,Mar,2011,69
Galway,County,Mar,2011,60
Kerry,County,Mar,2011,39
Kildare,County,Mar,2011,95
Kilkenny,County,Mar,2011,18
Laois,County,Mar,2011,19
Leitrim,County,Mar,2011,10
Limerick,County,Mar,2011,25
Longford,County,Mar,2011,3
Louth,County,Mar,2011,21
Mayo,County,Mar,2011,24
Meath,County,Mar,2011,39
Monaghan,County,Mar,2011,14
North Tipperary,County,Mar,2011,17
Offaly,County,Mar,2011,13
Roscommon,County,Mar,2011,22
Sligo,County,Mar,2011,17
South Dublin,County,Mar,2011,12
South Tipperary,County,Mar,2011,22
Waterford,County,Mar,2011,18
Westmeath,County,Mar,2011,21
Wexford,County,Mar,2011,36
Wicklow,County,Mar,2011,26
Carlow,County,Apr,2011,8
Cavan,County,Apr,2011,19
Clare,County,Apr,2011,16
Cork,County,Apr,2011,99
Donegal,County,Apr,2011,48
Dun Laoghaire,County,Apr,2011,34
Fingal,County,Apr,2011,110
Galway,County,Apr,2011,45
Kerry,County,Apr,2011,29
Kildare,County,Apr,2011,26
Kilkenny,County,Apr,2011,17
Laois,County,Apr,2011,17
Leitrim,County,Apr,2011,4
Limerick,County,Apr,2011,25
Longford,County,Apr,2011,10
Louth,County,Apr,2011,15
Mayo,County,Apr,2011,25
Meath,County,Apr,2011,26
Monaghan,County,Apr,2011,4
North Tipperary,County,Apr,2011,20
Offaly,County,Apr,2011,20
Roscommon,County,Apr,2011,27
Sligo,County,Apr,2011,19
South Dublin,County,Apr,2011,10
South Tipperary,County,Apr,2011,13
Waterford,County,Apr,2011,16
Westmeath,County,Apr,2011,25
Wexford,County,Apr,2011,42
Wicklow,County,Apr,2011,18
Carlow,County,May,2011,6
Cavan,County,May,2011,18
Clare,County,May,2011,26
Cork,County,May,2011,100
Donegal,County,May,2011,55
Dun Laoghaire,County,May,2011,30
Fingal,County,May,2011,27
Galway,County,May,2011,46
Kerry,County,May,2011,27
Kildare,County,May,2011,27
Kilkenny,County,May,2011,15
Laois,County,May,2011,23
Leitrim,County,May,2011,7
Limerick,County,May,2011,19
Longford,County,May,2011,3
Louth,County,May,2011,17
Mayo,County,May,2011,26
Meath,County,May,2011,31
Monaghan,County,May,2011,14
North Tipperary,County,May,2011,33
Offaly,County,May,2011,15
Roscommon,County,May,2011,13
Sligo,County,May,2011,16
South Dublin,County,May,2011,8
South Tipperary,County,May,2011,33
Waterford,County,May,2011,17
Westmeath,County,May,2011,16
Wexford,County,May,2011,39
Wicklow,County,May,2011,10
Carlow,County,Jun,2011,23
Cavan,County,Jun,2011,19
Clare,County,Jun,2011,24
Cork,County,Jun,2011,95
Donegal,County,Jun,2011,82
Dun Laoghaire,County,Jun,2011,16
Fingal,County,Jun,2011,56
Galway,County,Jun,2011,62
Kerry,County,Jun,2011,44
Kildare,County,Jun,2011,14
Kilkenny,County,Jun,2011,26
Laois,County,Jun,2011,13
Leitrim,County,Jun,2011,9
Limerick,County,Jun,2011,28
Longford,County,Jun,2011,17
Louth,County,Jun,2011,37
Mayo,County,Jun,2011,26
Meath,County,Jun,2011,34
Monaghan,County,Jun,2011,12
North Tipperary,County,Jun,2011,33
Offaly,County,Jun,2011,10
Roscommon,County,Jun,2011,32
Sligo,County,Jun,2011,11
South Dublin,County,Jun,2011,6
South Tipperary,County,Jun,2011,17
Waterford,County,Jun,2011,11
Westmeath,County,Jun,2011,18
Wexford,County,Jun,2011,30
Wicklow,County,Jun,2011,20
Carlow,County,Jul,2011,41
Cavan,County,Jul,2011,20
Clare,County,Jul,2011,23
Cork,County,Jul,2011,90
Donegal,County,Jul,2011,50
Dun Laoghaire,County,Jul,2011,3
Fingal,County,Jul,2011,30
Galway,County,Jul,2011,47
Kerry,County,Jul,2011,35
Kildare,County,Jul,2011,26
Kilkenny,County,Jul,2011,44
Laois,County,Jul,2011,15
Leitrim,County,Jul,2011,11
Limerick,County,Jul,2011,27
Longford,County,Jul,2011,5
Louth,County,Jul,2011,17
Mayo,County,Jul,2011,73
Meath,County,Jul,2011,30
Monaghan,County,Jul,2011,15
North Tipperary,County,Jul,2011,15
Offaly,County,Jul,2011,17
Roscommon,County,Jul,2011,21
Sligo,County,Jul,2011,33
South Dublin,County,Jul,2011,7
South Tipperary,County,Jul,2011,19
Waterford,County,Jul,2011,8
Westmeath,County,Jul,2011,20
Wexford,County,Jul,2011,45
Wicklow,County,Jul,2011,22
Carlow,County,Aug,2011,17
Cavan,County,Aug,2011,28
Clare,County,Aug,2011,20
Cork,County,Aug,2011,113
Donegal,County,Aug,2011,42
Dun Laoghaire,County,Aug,2011,8
Fingal,County,Aug,2011,69
Galway,County,Aug,2011,38
Kerry,County,Aug,2011,27
Kildare,County,Aug,2011,23
Kilkenny,County,Aug,2011,35
Laois,County,Aug,2011,16
Leitrim,County,Aug,2011,3
Limerick,County,Aug,2011,21
Longford,County,Aug,2011,3
Louth,County,Aug,2011,19
Mayo,County,Aug,2011,39
Meath,County,Aug,2011,33
Monaghan,County,Aug,2011,16
North Tipperary,County,Aug,2011,23
Offaly,County,Aug,2011,22
Roscommon,County,Aug,2011,11
Sligo,County,Aug,2011,14
South Dublin,County,Aug,2011,8
South Tipperary,County,Aug,2011,16
Waterford,County,Aug,2011,10
Westmeath,County,Aug,2011,22
Wexford,County,Aug,2011,37
Wicklow,County,Aug,2011,23
Carlow,County,Sept,2011,9
Cavan,County,Sept,2011,24
Clare,County,Sept,2011,25
Cork,County,Sept,2011,121
Donegal,County,Sept,2011, 42
Dun Laoghaire,County,Sept,2011,6
Fingal,County,Sept,2011,73
Galway,County,Sept,2011,68
Kerry,County,Sept,2011,42
Kildare,County,Sept,2011,18
Kilkenny,County,Sept,2011,31
Laois,County,Sept,2011,18
Leitrim,County,Sept,2011,10
Limerick,County,Sept,2011,18
Longford,County,Sept,2011,10
Louth,County,Sept,2011,25
Mayo,County,Sept,2011,70
Meath,County,Sept,2011,30
Monaghan,County,Sept,2011,18
North Tipperary,County,Sept,2011,22
Offaly,County,Sept,2011,8
Roscommon,County,Sept,2011,14
Sligo,County,Sept,2011,16
South Dublin,County,Sept,2011,9
South Tipperary,County,Sept,2011,15
Waterford,County,Sept,2011,16
Westmeath,County,Sept,2011,21
Wexford,County,Sept,2011,54
Wicklow,County,Sept,2011,36
Carlow,County,Oct,2011,29
Cavan,County,Oct,2011,13
Clare,County,Oct,2011,32
Cork,County,Oct,2011,101
Donegal,County,Oct,2011,49
Dun Laoghaire,County,Oct,2011,5
Fingal,County,Oct,2011,44
Galway,County,Oct,2011,37
Kerry,County,Oct,2011,26
Kildare,County,Oct,2011,32
Kilkenny,County,Oct,2011,21
Laois,County,Oct,2011,14
Leitrim,County,Oct,2011,1
Limerick,County,Oct,2011,22
Longford,County,Oct,2011,8
Louth,County,Oct,2011,18
Mayo,County,Oct,2011,29
Meath,County,Oct,2011,28
Monaghan,County,Oct,2011,17
North Tipperary,County,Oct,2011,20
Offaly,County,Oct,2011,16
Roscommon,County,Oct,2011,14
Sligo,County,Oct,2011,14
South Dublin,County,Oct,2011,20
South Tipperary,County,Oct,2011,12
Waterford,County,Oct,2011,19
Westmeath,County,Oct,2011,11
Wexford,County,Oct,2011,35
Wicklow,County,Oct,2011,22
Carlow,County,Nov,2011,17
Cavan,County,Nov,2011,28
Clare,County,Nov,2011,32
Cork,County,Nov,2011,135
Donegal,County,Nov,2011,45
Dun Laoghaire,County,Nov,2011,12
Fingal,County,Nov,2011,40
Galway,County,Nov,2011,58
Kerry,County,Nov,2011,25
Kildare,County,Nov,2011,40
Kilkenny,County,Nov,2011,20
Laois,County,Nov,2011,29
Leitrim,County,Nov,2011,9
Limerick,County,Nov,2011,49
Longford,County,Nov,2011,5
Louth,County,Nov,2011,19
Mayo,County,Nov,2011,43
Meath,County,Nov,2011,35
Monaghan,County,Nov,2011,18
North Tipperary,County,Nov,2011,24
Offaly,County,Nov,2011,22
Roscommon,County,Nov,2011,14
Sligo,County,Nov,2011,18
South Dublin,County,Nov,2011,25
South Tipperary,County,Nov,2011,16
Waterford,County,Nov,2011,16
Westmeath,County,Nov,2011,15
Wexford,County,Nov,2011,34
Wicklow,County,Nov,2011,28
Carlow,County,Dec,2011,13
Cavan,County,Dec,2011,14
Clare,County,Dec,2011,22
Cork,County,Dec,2011,115
Donegal,County,Dec,2011,38
Dun Laoghaire,County,Dec,2011,11
Fingal,County,Dec,2011,30
Galway,County,Dec,2011,67
Kerry,County,Dec,2011,47
Kildare,County,Dec,2011,49
Kilkenny,County,Dec,2011,32
Laois,County,Dec,2011,15
Leitrim,County,Dec,2011,8
Limerick,County,Dec,2011,36
Longford,County,Dec,2011,9
Louth,County,Dec,2011,20
Mayo,County,Dec,2011,47
Meath,County,Dec,2011,25
Monaghan,County,Dec,2011,13
North Tipperary,County,Dec,2011,22
Offaly,County,Dec,2011,20
Roscommon,County,Dec,2011,15
Sligo,County,Dec,2011,9
South Dublin,County,Dec,2011,9
South Tipperary,County,Dec,2011,13
Waterford,County,Dec,2011,26
Westmeath,County,Dec,2011,15
Wexford,County,Dec,2011,23
Wicklow,County,Dec,2011,19
Carlow,County,Jan,2012,7
Cavan,County,Jan,2012,9
Clare,County,Jan,2012,37
Cork,County,Jan,2012,69
Donegal,County,Jan,2012,57
Dun Laoghaire,County,Jan,2012,2
Fingal,County,Jan,2012,22
Galway,County,Jan,2012,41
Kerry,County,Jan,2012,15
Kildare,County,Jan,2012,21
Kilkenny,County,Jan,2012,8
Laois,County,Jan,2012,9
Leitrim,County,Jan,2012,11
Limerick,County,Jan,2012,11
Longford,County,Jan,2012,3
Louth,County,Jan,2012,14
Mayo,County,Jan,2012,15
Meath,County,Jan,2012,22
Monaghan,County,Jan,2012,15
North Tipperary,County,Jan,2012,13
Offaly,County,Jan,2012,11
Roscommon,County,Jan,2012,14
Sligo,County,Jan,2012,28
South Dublin,County,Jan,2012,49
South Tipperary,County,Jan,2012,7
Waterford,County,Jan,2012,10
Westmeath,County,Jan,2012,13
Wexford,County,Jan,2012,17
Wicklow,County,Jan,2012,11
Carlow,County,Feb,2012,12
Cavan,County,Feb,2012,12
Clare,County,Feb,2012,20
Cork,County,Feb,2012,71
Donegal,County,Feb,2012,60
Dun Laoghaire,County,Feb,2012,9
Fingal,County,Feb,2012,23
Galway,County,Feb,2012,32
Kerry,County,Feb,2012,34
Kildare,County,Feb,2012,40
Kilkenny,County,Feb,2012,13
Laois,County,Feb,2012,18
Leitrim,County,Feb,2012,5
Limerick,County,Feb,2012,14
Longford,County,Feb,2012,7
Louth,County,Feb,2012,11
Mayo,County,Feb,2012,18
Meath,County,Feb,2012,26
Monaghan,County,Feb,2012,33
North Tipperary,County,Feb,2012,18
Offaly,County,Feb,2012,11
Roscommon,County,Feb,2012,14
Sligo,County,Feb,2012,34
South Dublin,County,Feb,2012,8
South Tipperary,County,Feb,2012,9
Waterford,County,Feb,2012,14
Westmeath,County,Feb,2012,12
Wexford,County,Feb,2012,17
Wicklow,County,Feb,2012,14
Carlow,County,Mar,2012,8
Cavan,County,Mar,2012,16
Clare,County,Mar,2012,14
Cork,County,Mar,2012,85
Donegal,County,Mar,2012,42
Dun Laoghaire,County,Mar,2012,6
Fingal,County,Mar,2012,35
Galway,County,Mar,2012,40
Kerry,County,Mar,2012,31
Kildare,County,Mar,2012,30
Kilkenny,County,Mar,2012,12
Laois,County,Mar,2012,13
Leitrim,County,Mar,2012,14
Limerick,County,Mar,2012,16
Longford,County,Mar,2012,15
Louth,County,Mar,2012,15
Mayo,County,Mar,2012,25
Meath,County,Mar,2012,21
Monaghan,County,Mar,2012,8
North Tipperary,County,Mar,2012,14
Offaly,County,Mar,2012,6
Roscommon,County,Mar,2012,8
Sligo,County,Mar,2012,33
South Dublin,County,Mar,2012,8
South Tipperary,County,Mar,2012,9
Waterford,County,Mar,2012,10
Westmeath,County,Mar,2012,8
Wexford,County,Mar,2012,40
Wicklow,County,Mar,2012,15
Carlow,County,Apr,2012,9
Cavan,County,Apr,2012,9
Clare,County,Apr,2012,12
Cork,County,Apr,2012,62
Donegal,County,Apr,2012,34
Dun Laoghaire,County,Apr,2012,7
Fingal,County,Apr,2012,17
Galway,County,Apr,2012,51
Kerry,County,Apr,2012,24
Kildare,County,Apr,2012,24
Kilkenny,County,Apr,2012,14
Laois,County,Apr,2012,45
Leitrim,County,Apr,2012,5
Limerick,County,Apr,2012,20
Longford,County,Apr,2012,20
Louth,County,Apr,2012,9
Mayo,County,Apr,2012,23
Meath,County,Apr,2012,24
Monaghan,County,Apr,2012,12
North Tipperary,County,Apr,2012,10
Offaly,County,Apr,2012,9
Roscommon,County,Apr,2012,15
Sligo,County,Apr,2012,18
South Dublin,County,Apr,2012,12
South Tipperary,County,Apr,2012,9
Waterford,County,Apr,2012,14
Westmeath,County,Apr,2012,22
Wexford,County,Apr,2012,27
Wicklow,County,Apr,2012,17
Carlow,County,May,2012,10
Cavan,County,May,2012,15
Clare,County,May,2012,22
Cork,County,May,2012,105
Donegal,County,May,2012,37
Dun Laoghaire,County,May,2012,7
Fingal,County,May,2012,22
Galway,County,May,2012,42
Kerry,County,May,2012,37
Kildare,County,May,2012,23
Kilkenny,County,May,2012,6
Laois,County,May,2012,29
Leitrim,County,May,2012,7
Limerick,County,May,2012,24
Longford,County,May,2012,6
Louth,County,May,2012,17
Mayo,County,May,2012,28
Meath,County,May,2012,32
Monaghan,County,May,2012,9
North Tipperary,County,May,2012,11
Offaly,County,May,2012,17
Roscommon,County,May,2012,11
Sligo,County,May,2012,18
South Dublin,County,May,2012,12
South Tipperary,County,May,2012,6
Waterford,County,May,2012,12
Westmeath,County,May,2012,10
Wexford,County,May,2012,26
Wicklow,County,May,2012,20
Carlow,County,Jun,2012,10
Cavan,County,Jun,2012,19
Clare,County,Jun,2012,21
Cork,County,Jun,2012,63
Donegal,County,Jun,2012,40
Dun Laoghaire,County,Jun,2012,6
Fingal,County,Jun,2012,48
Galway,County,Jun,2012,25
Kerry,County,Jun,2012,23
Kildare,County,Jun,2012,32
Kilkenny,County,Jun,2012,12
Laois,County,Jun,2012,16
Leitrim,County,Jun,2012,8
Limerick,County,Jun,2012,23
Longford,County,Jun,2012,14
Louth,County,Jun,2012,13
Mayo,County,Jun,2012,28
Meath,County,Jun,2012,24
Monaghan,County,Jun,2012,7
North Tipperary,County,Jun,2012,6
Offaly,County,Jun,2012,13
Roscommon,County,Jun,2012,12
Sligo,County,Jun,2012,52
South Dublin,County,Jun,2012,8
South Tipperary,County,Jun,2012,10
Waterford,County,Jun,2012,17
Westmeath,County,Jun,2012,16
Wexford,County,Jun,2012,24
Wicklow,County,Jun,2012,14
Carlow,County,Jul,2012,15
Cavan,County,Jul,2012,16
Clare,County,Jul,2012,14
Cork,County,Jul,2012,79
Donegal,County,Jul,2012,45
Dun Laoghaire,County,Jul,2012,10
Fingal,County,Jul,2012,35
Galway,County,Jul,2012,34
Kerry,County,Jul,2012,25
Kildare,County,Jul,2012,17
Kilkenny,County,Jul,2012,11
Laois,County,Jul,2012,17
Leitrim,County,Jul,2012,1
Limerick,County,Jul,2012,10
Longford,County,Jul,2012,13
Louth,County,Jul,2012,23
Mayo,County,Jul,2012,22
Meath,County,Jul,2012,48
Monaghan,County,Jul,2012,7
North Tipperary,County,Jul,2012,19
Offaly,County,Jul,2012,15
Roscommon,County,Jul,2012,13
Sligo,County,Jul,2012,9
South Dublin,County,Jul,2012,18
South Tipperary,County,Jul,2012,15
Waterford,County,Jul,2012,14
Westmeath,County,Jul,2012,14
Wexford,County,Jul,2012,21
Wicklow,County,Jul,2012,14
Carlow,County,Aug,2012,8
Cavan,County,Aug,2012,18
Clare,County,Aug,2012,27
Cork,County,Aug,2012,87
Donegal,County,Aug,2012,50
Dun Laoghaire,County,Aug,2012,8
Fingal,County,Aug,2012,27
Galway,County,Aug,2012,40
Kerry,County,Aug,2012,22
Kildare,County,Aug,2012,26
Kilkenny,County,Aug,2012,9
Laois,County,Aug,2012,12
Leitrim,County,Aug,2012,10
Limerick,County,Aug,2012,19
Longford,County,Aug,2012,12
Louth,County,Aug,2012,36
Mayo,County,Aug,2012,27
Meath,County,Aug,2012,24
Monaghan,County,Aug,2012,22
North Tipperary,County,Aug,2012,14
Offaly,County,Aug,2012,9
Roscommon,County,Aug,2012,6
Sligo,County,Aug,2012,16
South Dublin,County,Aug,2012,17
South Tipperary,County,Aug,2012,7
Waterford,County,Aug,2012,4
Westmeath,County,Aug,2012,8
Wexford,County,Aug,2012,17
Wicklow,County,Aug,2012,36
Carlow,County,Sept,2012,7
Cavan,County,Sept,2012,15
Clare,County,Sept,2012,21
Cork,County,Sept,2012,84
Donegal,County,Sept,2012,36
Dun Laoghaire,County,Sept,2012,15
Fingal,County,Sept,2012,17
Galway,County,Sept,2012,37
Kerry,County,Sept,2012,20
Kildare,County,Sept,2012,39
Kilkenny,County,Sept,2012,13
Laois,County,Sept,2012,27
Leitrim,County,Sept,2012,9
Limerick,County,Sept,2012,20
Longford,County,Sept,2012,11
Louth,County,Sept,2012,22
Mayo,County,Sept,2012,33
Meath,County,Sept,2012,27
Monaghan,County,Sept,2012,9
North Tipperary,County,Sept,2012,14
Offaly,County,Sept,2012,10
Roscommon,County,Sept,2012,9
Sligo,County,Sept,2012,11
South Dublin,County,Sept,2012,3
South Tipperary,County,Sept,2012,9
Waterford,County,Sept,2012,15
Westmeath,County,Sept,2012,18
Wexford,County,Sept,2012,24
Wicklow,County,Sept,2012,22
Carlow,County,Oct,2012,10
Cavan,County,Oct,2012,22
Clare,County,Oct,2012,23
Cork,County,Oct,2012,74
Donegal,County,Oct,2012,34
Dun Laoghaire,County,Oct,2012,18
Fingal,County,Oct,2012,25
Galway,County,Oct,2012,48
Kerry,County,Oct,2012,62
Kildare,County,Oct,2012,31
Kilkenny,County,Oct,2012,35
Laois,County,Oct,2012,17
Leitrim,County,Oct,2012,10
Limerick,County,Oct,2012,16
Longford,County,Oct,2012,5
Louth,County,Oct,2012,33
Mayo,County,Oct,2012,16
Meath,County,Oct,2012,34
Monaghan,County,Oct,2012,10
North Tipperary,County,Oct,2012,13
Offaly,County,Oct,2012,12
Roscommon,County,Oct,2012,10
Sligo,County,Oct,2012,24
South Dublin,County,Oct,2012,28
South Tipperary,County,Oct,2012,9
Waterford,County,Oct,2012,9
Westmeath,County,Oct,2012,19
Wexford,County,Oct,2012,32
Wicklow,County,Oct,2012,15
Carlow,County,Nov,2012,13
Cavan,County,Nov,2012,24
Clare,County,Nov,2012,24
Cork,County,Nov,2012,98
Donegal,County,Nov,2012,33
Dun Laoghaire,County,Nov,2012,34
Fingal,County,Nov,2012,47
Galway,County,Nov,2012,42
Kerry,County,Nov,2012,33
Kildare,County,Nov,2012,37
Kilkenny,County,Nov,2012,13
Laois,County,Nov,2012,23
Leitrim,County,Nov,2012,3
Limerick,County,Nov,2012,27
Longford,County,Nov,2012,6
Louth,County,Nov,2012,29
Mayo,County,Nov,2012,34
Meath,County,Nov,2012,39
Monaghan,County,Nov,2012,11
North Tipperary,County,Nov,2012,10
Offaly,County,Nov,2012,9
Roscommon,County,Nov,2012,15
Sligo,County,Nov,2012,12
South Dublin,County,Nov,2012,22
South Tipperary,County,Nov,2012,8
Waterford,County,Nov,2012,28
Westmeath,County,Nov,2012,15
Wexford,County,Nov,2012,36
Wicklow,County,Nov,2012,18
Carlow,County,Dec,2012,7
Cavan,County,Dec,2012,18
Clare,County,Dec,2012,21
Cork,County,Dec,2012,88
Donegal,County,Dec,2012,43
Dun Laoghaire,County,Dec,2012,53
Fingal,County,Dec,2012,46
Galway,County,Dec,2012,35
Kerry,County,Dec,2012,22
Kildare,County,Dec,2012,52
Kilkenny,County,Dec,2012,11
Laois,County,Dec,2012,14
Leitrim,County,Dec,2012,3
Limerick,County,Dec,2012,30
Longford,County,Dec,2012,3
Louth,County,Dec,2012,46
Mayo,County,Dec,2012,21
Meath,County,Dec,2012,32
Monaghan,County,Dec,2012,6
North Tipperary,County,Dec,2012,9
Offaly,County,Dec,2012,22
Roscommon,County,Dec,2012,18
Sligo,County,Dec,2012,10
South Dublin,County,Dec,2012,35
South Tipperary,County,Dec,2012,15
Waterford,County,Dec,2012,15
Westmeath,County,Dec,2012,15
Wexford,County,Dec,2012,24
Wicklow,County,Dec,2012,21
Carlow,County,Jan,2013,6
Cavan,County,Jan,2013,11
Clare,County,Jan,2013,12
Cork,County,Jan,2013,51
Donegal,County,Jan,2013,17
Dun Laoghaire,County,Jan,2013,6
Fingal,County,Jan,2013,17
Galway,County,Jan,2013,24
Kerry,County,Jan,2013,20
Kildare,County,Jan,2013,24
Kilkenny,County,Jan,2013,10
Laois,County,Jan,2013,8
Leitrim,County,Jan,2013,17
Limerick,County,Jan,2013,14
Longford,County,Jan,2013,4
Louth,County,Jan,2013,25
Mayo,County,Jan,2013,16
Meath,County,Jan,2013,16
Monaghan,County,Jan,2013,11
North Tipperary,County,Jan,2013,7
Offaly,County,Jan,2013,7
Roscommon,County,Jan,2013,17
Sligo,County,Jan,2013,31
South Dublin,County,Jan,2013,13
South Tipperary,County,Jan,2013,10
Waterford,County,Jan,2013,8
Westmeath,County,Jan,2013,12
Wexford,County,Jan,2013,16
Wicklow,County,Jan,2013,25
Carlow,County,Feb,2013,10
Cavan,County,Feb,2013,19
Clare,County,Feb,2013,12
Cork,County,Feb,2013,56
Donegal,County,Feb,2013,41
Dun Laoghaire,County,Feb,2013,18
Fingal,County,Feb,2013,30
Galway,County,Feb,2013,42
Kerry,County,Feb,2013,26
Kildare,County,Feb,2013,40
Kilkenny,County,Feb,2013,4
Laois,County,Feb,2013,11
Leitrim,County,Feb,2013,7
Limerick,County,Feb,2013,16
Longford,County,Feb,2013,9
Louth,County,Feb,2013,10
Mayo,County,Feb,2013,22
Meath,County,Feb,2013,24
Monaghan,County,Feb,2013,9
North Tipperary,County,Feb,2013,7
Offaly,County,Feb,2013,6
Roscommon,County,Feb,2013,18
Sligo,County,Feb,2013,8
South Dublin,County,Feb,2013,7
South Tipperary,County,Feb,2013,7
Waterford,County,Feb,2013,12
Westmeath,County,Feb,2013,11
Wexford,County,Feb,2013,16
Wicklow,County,Feb,2013,33
Carlow,County,Mar,2013,11
Cavan,County,Mar,2013,15
Clare,County,Mar,2013,22
Cork,County,Mar,2013,54
Donegal,County,Mar,2013,34
Dun Laoghaire,County,Mar,2013,9
Fingal,County,Mar,2013,32
Galway,County,Mar,2013,38
Kerry,County,Mar,2013,15
Kildare,County,Mar,2013,26
Kilkenny,County,Mar,2013,13
Laois,County,Mar,2013,11
Leitrim,County,Mar,2013,3
Limerick,County,Mar,2013,20
Longford,County,Mar,2013,8
Louth,County,Mar,2013,22
Mayo,County,Mar,2013,16
Meath,County,Mar,2013,36
Monaghan,County,Mar,2013,5
North Tipperary,County,Mar,2013,8
Offaly,County,Mar,2013,12
Roscommon,County,Mar,2013,12
Sligo,County,Mar,2013,11
South Dublin,County,Mar,2013,6
South Tipperary,County,Mar,2013,19
Waterford,County,Mar,2013,12
Westmeath,County,Mar,2013,13
Wexford,County,Mar,2013,20
Wicklow,County,Mar,2013,19
Carlow,County,Apr,2013,10
Cavan,County,Apr,2013,17
Clare,County,Apr,2013,21
Cork,County,Apr,2013,69
Donegal,County,Apr,2013,29
Dun Laoghaire,County,Apr,2013,9
Fingal,County,Apr,2013,21
Galway,County,Apr,2013,38
Kerry,County,Apr,2013,17
Kildare,County,Apr,2013,60
Kilkenny,County,Apr,2013,18
Laois,County,Apr,2013,24
Leitrim,County,Apr,2013,13
Limerick,County,Apr,2013,27
Longford,County,Apr,2013,7
Louth,County,Apr,2013,23
Mayo,County,Apr,2013,21
Meath,County,Apr,2013,27
Monaghan,County,Apr,2013,10
North Tipperary,County,Apr,2013,15
Offaly,County,Apr,2013,11
Roscommon,County,Apr,2013,15
Sligo,County,Apr,2013,8
South Dublin,County,Apr,2013,4
South Tipperary,County,Apr,2013,16
Waterford,County,Apr,2013,7
Westmeath,County,Apr,2013,19
Wexford,County,Apr,2013,30
Wicklow,County,Apr,2013,23
Carlow,County,May,2013,8
Cavan,County,May,2013,13
Clare,County,May,2013,22
Cork,County,May,2013,83
Donegal,County,May,2013,40
Dun Laoghaire,County,May,2013,6
Fingal,County,May,2013,44
Galway,County,May,2013,28
Kerry,County,May,2013,31
Kildare,County,May,2013,26
Kilkenny,County,May,2013,15
Laois,County,May,2013,14
Leitrim,County,May,2013,4
Limerick,County,May,2013,20
Longford,County,May,2013,7
Louth,County,May,2013,19
Mayo,County,May,2013,25
Meath,County,May,2013,26
Monaghan,County,May,2013,8
North Tipperary,County,May,2013,13
Offaly,County,May,2013,10
Roscommon,County,May,2013,10
Sligo,County,May,2013,8
South Dublin,County,May,2013,9
South Tipperary,County,May,2013,9
Waterford,County,May,2013,8
Westmeath,County,May,2013,9
Wexford,County,May,2013,11
Wicklow,County,May,2013,17
Carlow,County,Jun,2013,26
Cavan,County,Jun,2013,10
Clare,County,Jun,2013,15
Cork,County,Jun,2013,67
Donegal,County,Jun,2013,31
