Councils,Type,Months,Years,ESB_Connections
Carlow,County,Jan,2007,52
Cavan,County,Jan,2007,176
Clare,County,Jan,2007,122
Cork,County,Jan,2007,573
Donegal,County,Jan,2007,344
Dun Laoghaire,County,Jan,2007,217
Fingal,County,Jan,2007,311
Galway,County,Jan,2007,427
Kerry,County,Jan,2007,172
Kildare,County,Jan,2007,225
Kilkenny,County,Jan,2007,129
Laois,County,Jan,2007,213
Leitrim,County,Jan,2007,105
Limerick,County,Jan,2007,166
Longford,County,Jan,2007,96
Louth,County,Jan,2007,128
Mayo,County,Jan,2007,221
Meath,County,Jan,2007,162
Monaghan,County,Jan,2007,47
North Tipperary,County,Jan,2007,90
Offaly,County,Jan,2007,84
Roscommon,County,Jan,2007,113
Sligo,County,Jan,2007,129
South Dublin,County,Jan,2007,160
South Tipperary,County,Jan,2007,110
Waterford,County,Jan,2007,60
Westmeath,County,Jan,2007,201
Wexford,County,Jan,2007,213
Wicklow,County,Jan,2007,130
Carlow,County,Feb,2007,142
Cavan,County,Feb,2007,118
Clare,County,Feb,2007,237
Cork,County,Feb,2007,646
Donegal,County,Feb,2007,370
Dun Laoghaire,County,Feb,2007,257
Fingal,County,Feb,2007,450
Galway,County,Feb,2007,359
Kerry,County,Feb,2007,255
Kildare,County,Feb,2007,294
Kilkenny,County,Feb,2007,150
Laois,County,Feb,2007,192
Leitrim,County,Feb,2007,97
Limerick,County,Feb,2007,211
Longford,County,Feb,2007,201
Louth,County,Feb,2007,139
Mayo,County,Feb,2007,230
Meath,County,Feb,2007,196
Monaghan,County,Feb,2007,104
North Tipperary,County,Feb,2007,85
Offaly,County,Feb,2007,115
Roscommon,County,Feb,2007,96
Sligo,County,Feb,2007,80
South Dublin,County,Feb,2007,393
South Tipperary,County,Feb,2007,126
Waterford,County,Feb,2007,119
Westmeath,County,Feb,2007,114
Wexford,County,Feb,2007,196
Wicklow,County,Feb,2007,122
Carlow,County,Mar,2007,126
Cavan,County,Mar,2007,170
Clare,County,Mar,2007,197
Cork,County,Mar,2007,800
Donegal,County,Mar,2007,321
Dun Laoghaire,County,Mar,2007,100
Fingal,County,Mar,2007,541
Galway,County,Mar,2007,332
Kerry,County,Mar,2007,243
Kildare,County,Mar,2007,285
Kilkenny,County,Mar,2007,175
Laois,County,Mar,2007,225
Leitrim,County,Mar,2007,76
Limerick,County,Mar,2007,222
Longford,County,Mar,2007,109
Louth,County,Mar,2007,154
